Id,comment_text,topic,conspiracy
180,Vaiolo delle scimmie! L'Italia si prepara alla vaccinazione di massa: già comprate 5 milioni di dosi! Ma l'OMS e il capo della Pfizer dicono che non servono! Il pericolo pandemia è inesistente!,Covid,0
181,"Il medico dell'esercito degli Stati Uniti dice ""in una mattina ho dovuto mettere a terra 3 piloti su 3 a causa di lesioni da vaccino"" durante una tavola rotonda a Washington, DC ospitata dal senatore degli Stati Uniti Ron Johnson

🇮🇹 ",Covid,0
182,Il sistema di questa religione di questo mondo.. e' in tilt per un microbo..,Covid,0
183,Come vedete... il terreno e' molto diverso.. confrontate le 2 foto e noterete la differenza dei crateri ed il colore...,Terra Piatta,3
184,"La vera guerra non è contro la Russia, ma contro le popolazioni d’Europa, Italia in primis, laboratorio di sperimentazione del Grande Reset di Davos.",Qanon,1
185,"Piccolo consiglio pratico

""  Anons non dovrebbe vedere tutto a livello della superficie.  Ci è stato detto dal mondo che Putin è malvagio.  Ma quando guardi sotto la superficie vedi un'immagine diversa.  Mi hanno detto che Bill Barr e Jeff Sessions erano inetti e corrotti, ma quando guardi sotto la superficie hanno dato potere a Durham.  Ci è stato detto che Kim Jong Un era un dittatore malvagio, ma quando guardi sotto la superficie scoprirai che la CIA lo stava ricattando e Trump lo ha liberato.
 Credi davvero che tutto sia sempre come sembra in superficie con ogni giocatore di scacchi o devo andare avanti ?  ""

",Qanon,1
186,"MI RICORDO CHE .........

Poi in questo MONDO CAPOVOLTO la SCIENZAHHHH che ha fatto passi da GIGANTEHHHH ha STRAVOLTO i CONCETTI BASILARI DELLA VERA  SCIENZA

Sempre e solo Silver

",Covid,0
187,"🤦‍♂😳 **Assurdo: chirurgia per femminizzare il cranio del frocio.**

**il cancro femminista avanza rapidamente.**

",Qanon,1
188,Perche- non dirlo?? Beh ovvio tutti si domanderebbero chi ha creato la cupola.. risposta una intelligenza Superiore all'uomo... pertanto  non ci sarebbe piu' una leader ship  di conseguenza  i padroni di questo mondo perderebbero il controllo e autorita' La gente vorrebbe  andare a vedere l-estremo della terra toccare la Cupola.. O per lo meno avere piu chiarificazioni  a riguardo.,Qanon,1
189,Dittatura: come è stato possibile? È stato creato il TOTALITARISMO grazie all'IPNOSI DI MASSA ( Mattias Desmet)!! La SINDROME DI STOCCOLMA!! La colpa dei media mainstream!!! Il regime scredita le VERE NOTIZIE come BUFALE!!!! Siamo un esperimento sociale per vedere fino a che punto è possibile calpestare la Costituzione e privare della libertà i cittadini!!! I dissidenti sono immuni all'ipnosi di massa!!! (Non perdete il prossimo VIDEO di VITALE IMPORTANZA!!!!),Qanon,1
190,Si difendono dicendo che il sole seppur e' piu lontano..  scalda di piu causa l'angolazione dei raggi solari...,Terra Piatta,3
191,"Sempre per restare nel tema di come l'OMS sia un morto che cammina, se diamo uno sguardo ai suoi bilanci comprendiamo meglio il perché. Trump ha tagliato drasticamente i finanziamenti a questa organizzazione che ha visto ridursi i fondi stanziati da Washington del 25%. La cosiddetta ""amministrazione Biden"" ancora non ha versato i fondi necessari all'OMS in quello che appare essere un suo leitmotiv. Biden annuncia di voler dare sostegno alle organizzazioni e alle cause delle varie lobby atlantiste, ma poi sulla carta non si vede nulla, così come i 44 miliardi di dollari promessi all'Ucraina, ad oggi parcheggiati nelle pastoie burocratiche del Senato. Gli Stati Uniti quindi hanno già tagliato ampiamente i fondi all'OMS e se la Russia lascia possiamo dire addio ad uno dei carrozzoni preferiti da Bill Gates e dal cartello farmaceutico.
",Covid,0
192,Dott. Oliviero: il governo fa terrorismo per farci abbassare le difese immunitarie. Tamponi farlocchi,Covid,0
193,"Erano solo due settimane fa che i falsi profeti della paura gridavano sguia che il certificato verde sarebbe stato prorogato dall'UE. In realtà avevamo subito fatto notare che era il Parlamento UE ad aver espresso questa intenzione ma il vero organo decisionale della UE, il Consiglio, non si era ancora pronunciato sulla questione. E il Consiglio sono i governi degli Stati membri che detengono l'ultima parola su queste misure. Quasi tutti gli Stati hanno già tolto qualsiasi requisito d'ingresso per entrare nel Paese e ora, da domani, si aggiunge anche l'Italia. 

Da domani non sarà più necessario nulla per entrare in Italia. Nè tamponi, nè certificati nè nessun altra delle assurdità autoritarie degli ultimi due anni. Viene meno quindi anche uno degli ultimi pezzi rimasti in piedi della defunta farsa pandemica, quello delle restrizioni per i viaggi. I falsi controinformatori si trovano ora in una condizione paradossale. Stanno pregando con tutte le loro forze perché poteri come Davos e il Bilderberg riescano ad avere la meglio perché la loro parassitaria sopravvivenza dipende dal trionfo di questi gruppi. 

Dal momento però che siamo andati verso scenari opposti, fallimento del Grande Reset, ed esaurito il bagaglio delle psy-op a disposizione (campi di concentramento, Eurogendfor, terza guerra mondiale, etc.), 
adesso provano ridicolmente a far credere che il fallimento del Nuovo Ordine Mondiale sia in realtà un suo ""successo"". Ormai sono tragicomici, ma portate ancora un po' di pazienza. Lo stato profondo italiano per il quale tali soggetti lavorano sta implodendo. Non manca molto alla loro uscita di scena. 
",Covid,0
194,"Il capo dell'indagine COVID-19 di The Lancet è ""convinto"" che il virus sia uscito da un laboratorio...                                                                                                 ",Covid,0
195,"SENSAZIONALE! Dott. Monteverde: Ci stanno avvelenando! Ho fatto analizzare al microscopio i sieri covid-19 da uno dei migliori esperti e non contengono RNA messaggero! È una truffa! Ritrovati invece grandi quantità di grafene e nanocircuiti! Attenzione! Mettono il grafene dappertutto, anche nei cibi, nelle anestesie dentali...!",Covid,0
196,"**⚡👍 Sempre più italiani decidono di usare di più il contante!

Bene bene, continuare così**!



Nel frattempo gli oligarchi già pensano al chip per il controllo totale:

",Qanon,1
197,"23/12/21]( [Clinical case report]

📄 __""Acute autoimmune transverse myelitis following COVID-19 vaccination""
🇮🇹 ""Mielite trasversa acuta autoimmune dopo la vaccinazione contro la COVID-19. Un caso clinico""__

Conclusione
📊 ""Abbiamo presentato un caso di [mielite trasversa acuta]( a seguito di un vaccino COVID-19 basato sul mRNA. L'OCB positivo nel liquido cerebrospinale nel presente caso evidenzia la possibilità di processi autoimmuni [...] a seguito della vaccinazione. Sebbene l'associazione tra il vaccino e la mielite trasversa non sia chiara, **è importante tenere presente la possibilità che il vaccino a base di mRNA possa indurre mielite trasversa**, probabilmente correlata a meccanismi autoimmuni.""

📚 **",Covid,0
198,"Israele sembra essere entrata in una crisi politica permanente. Il governo Bennett dopo appena un anno di vita è già caduto, ed è caduto su una delle questioni vitali della politica del Paese, quella che riguarda la Cisgiordania. La Cisgiordania è il territorio nel quale vivono molti palestinesi e Israele la occupa dal 1967. Su questo territorio, esistono due leggi in omaggio ai principi dell'apartheid sionista. Una che prevede un trat di favore per i coloni israeliani e un'altra che prevede la legge marziale per i nativi palestinesi. Il Parlamento avrebbe dovuto rinnovare questa legge che discrimina il popolo palestinese a luglio, ma il Parlamento israeliano, la Knesset, sembra essere diviso sulla questione. 

C'è chi come Bennett vorrebbe definitivamente annettere la Cisgiordania a Israele, ma questo significherebbe ritrovarsi in minoranza perché i palestinesi hanno una crescita demografica maggiore degli israeliani. C'è chi invece vorrebbe lasciare la Cisgiordania ai palestinesi ma i falchi come Bennett e Netanyahu sono contrari. Israele quindi sta vivendo una contraddizione che mette a rischio la sua stessa esistenza come entità statuale. Una contraddizione nata per volontà della famiglia Rothschild che ordinò alla Gran Bretagna nel 1917 di procedere alla creazione di uno stato non voluto dagli ebrei ma piuttosto dalla lobby sionista. Sembra che siamo giunti all'implosione di questa insanabile contraddizione. Lo stato eletto dal Nuovo Ordine Mondiale rischia di non sopravvivere a questa crisi che riguarda le radici della sua stessa creazione. 
",Qanon,1
199,"**Morto a 24 anni. Il giudice ordina: «Indagate sul vaccino»

**Traian Calancea è morto a 24 anni nell'ottobre scorso per un'emorragia cerebrale. “Malore domestico”, per il medico intervenuto. Ma ieri il Gip di Trento ha respinto la richiesta di archiviazione della Procura e disposto indagini per appurare la correlazione tra il decesso e la vaccinazione. Il legale Renate Holzeisen alla Bussola: «Decisione che farà scuola, la Procura ha negato riscontri fondamentali anche a causa di un conflitto di interesse. Ora potremo dimostrare la correlazione e il dolo dei sanitari».

»🗞

» 📢 ",Covid,0
200,"Allora se è gradito esprimere un pensiero  diverso o magari anche simile con dei distinguo utili al fine di comprendere meglio certe cose io intanto premetto che qualunque personaggio politico non gode della mia stima. Per quanto concerne la figura di Francesco Toscano francamente non rientra nelle mie simpatie in quanto lo trovo abbastanza arrogante però ciò che ha detto e ciò che sta facendo sembrerebbe portare allo stesso falso proposito degli allora Dei promessi 5stelle rivelatisi poi ignobili traditori asserviti. PERÒ...
Per non incorrere a sbagli valutativi non mi esprimo sul dopo...in questo momento posso solo vedere le apparenti buone intenzioni che sembrano esserci e potrei anche comprendere il pensiero SPIRITUALE che probabilmente non è recepito in quanto credo di aver capito la sua tolleranza o carità o quel che si voglia intendere verso i Diavoli che comunque sono funzionali a ciò che dovrà accadere ..  tutto fa parte di un grande progetto di Dio",Qanon,1
201,"Tu sei sicuro al 100% che vorrai dire sempre SI? 
Sicuro sicuro che vuoi rinunciare x sempre al diritto di dire NO ad un trat sanitario? 
Sicuro?
No perché stanno negando il green pass a chi ha avuto reazioni avverse importanti dopo la prima dose e non si sente di fare la seconda. 
Se tutto ciò vi pare normale....",Covid,0
202,"**Ritengo questo audio piuttosto importante**: spiega coeren come il lasciapassare diventerà lo strumento per il controllo delle persone.
Per chi crede che queste siano fantasie, rinvio al precedente post di luglio

Dove lo stesso Cingolani, attuale ministro della ""transizione ecologica"", ci racconta il punto in cui siamo con la tecnologia (non la scienza) e quello che tendiamo a raggiungere: non io od i complottisti.... il ministro di questo governo mortifero ""dei migliori"" 💀💀

🇮🇹 ",Covid,0
203,"Abbiamo visto cosa significhi per il governo e per il PD difendere la democrazia: vietare agli over50 di lavorare, vietare di circolare senza green pass, vietare di manifestare in pubblico, vietare di andare a scuola, vietare di salire sugli autobus, vietare vietare vietare...
Ho sempre apprezzato la gente coerente.
[🇮🇹]( ",Covid,0
204,"15 aprile: la ""tempesta di polemiche"" ha momentaneamente interrotto fortuna questa barbara e brutale aggressione alla salute psicofisica e mentale dei ragazzi.
link per approfondire 👇
",Covid,0
205,"__**""In nome del Regime Dittatoriale: disperdetevi! “__**
""__Heil Draghen__"" 🥴
Nazista di M...A❗",Qanon,1
206,"📎 [Journal of Hepatology • 04/10/21]( [Letter to the Editor]

📄 __""Immune-mediated hepatitis with the Moderna vaccine, no longer a coincidence but confirmed""
🇮🇹 ""Epatite immuno-mediata con il vaccino Moderna, non più una coincidenza ma una conferma""__

📊 ""Abbiamo letto con interesse di recenti casi che suggeriscono la possibilità di epatite immuno-mediata indotta da vaccino con i vaccini Pfizer-BioNTech e Moderna mRNA-1273 per il virus SARS-CoV-2.""

📊 ""Un uomo caucasico di 47 anni, che in precedenza stava comple bene, ha ricevuto la sua prima dose di vaccino Moderna il 26 aprile 2021. 3 giorni dopo ha notato malessere e ittero.""

⚠️ ""Il vaccino ad mRNA innesca citochine pro-infiammatorie tra cui l'interferone ed è stata illustrata una reattività crociata tra gli anticorpi contro la proteina spike e gli [autoantigeni](

❗️""Segnaliamo questo caso per incoraggiare la vigilanza sulle reazioni indotte dai farmaci e per sensibilizzare i centri di vaccinazione a incorporarla nei loro controlli di routine prima di somministrare le seconde dosi. Il follow-up a lungo termine delle persone identificate sarà essenziale per determinare la prognosi di questo danno epatico immuno-mediato.""

📚 **",Covid,0
207,"Infatti mi chiedo la stessa cosa. Mia madre è insegnante, e ricordo benissimo che quando ero piccolo faceva una testa così a tutti i bambini per insegnargli la storia di Anna Frank. Le ho citato una parte del diario in cui elencava tutte le cose che gli ebrei non potevano più fare, e le ho chiesto come fa a non rendersi conto che è esat quello che i non vaccinati non possono più fare. Scena muta.",Covid,0
208,"Dott. Totaro: con le terapie domiciliari per il covid-19 ho guarito tutti! Siamo stati ostacolati da Speranza, il suo è protocollo criminale! Hanno vietato le cure per spingere i vaccini. Coronavirus stessi sintomi dell'influenza!",Covid,0
209,"Dott.ssa Silvana De Mari: Sono state fatte delle scelte consapevoli per permettere la distruzione economica dell'Italia. I ""vaccini"" covid hanno efficacia negativa! Sono stati comprati 340 milioni di dosi!!! Speranza sapeva già che due dosi non bastavano? Bill Gates a Davos ha detto che i sieri non danno nessuna immunità e non impediscono di trasmetterla e che non ha nessun senso discriminare le persone!

",Covid,0
210,"L'ex direttore dell'intelligence nazionale sotto l'amministrazione Trump, John Ratcliffe, rivela che stanno per essere pubblicati altri documenti esplosivi che provano ulteriormente il ruolo di Hillary Clinton e dell'apparato mediatico nel golpe dello Spygate nel 2016. Donald Trump si è seduto sulla riva del fiume e ha aspettato pazien che i cadaveri dei suoi nemici affiorassero in superficie. Tra quei corpi ci sono anche nomi eccellenti dello stato profondo Italiano che aiutarono Barack Obama e Hillary Clinton ad orchestrare l'operazione eversiva ai danni di Trump. La campana a morto suona per coloro che sono a palazzo Chigi, a palazzo Madama e a Montecitorio.
",Qanon,1
211,"31.01.2022: cosa accadrà? Polizia, studio legale e on. Francesca Donato. Prof. Meluzzi: prima della primavera grande cambiamento!! Attenti al colpo di coda dei satanisti!!! Il governo mente e da falsi dati sul covid!!!",Qanon,1
212,"Ricapitolando, nel week end sono venuti alla luce gli scandali di Scholz(festini con droga), di Macron(Uber) e di Joe Biden con nuovi video del figlio Hunter molto compromettenti. Settimana scorsa è saltato B. Johnson e sono state demolite le Georgia guidestones. Musk poi ha sotterrato definitivamente Twitter e Putin ha lasciato senza gas la Germania. Il DS non mi sembra così in controllo...(lo dico per i più scettici)",Qanon,1
213,"Il piano predisposto da Draghi sta cominciando a funzionare...
Miseria & povertà per tutti!

[🇮🇹]( ",Qanon,1
214,"CI SCRIVONO 3 VESCOVI: Bergoglio promuove la vaccinazione obbligatoria anche per i bambini! I sieri covid sono veleni, danno luogo a numerosi eventi avversi GRAVI e letali! Il Vaticano è la sede della deep church, alleata con i membri del Nuovo Ordine Mondiale! 

",Qanon,1
215,"
In un convegno a proposito delle legge Lorenzin.
Una volta Paolo Maddalena parlava così, oggi invece, sembra aver dimenticato la precauzione che mostrava  verso vaccini sperimentali e con un giro di parole avvalla l'autorità dello stato a decidere per la salute in ""via generale"" della popolazione lasciando alla scienzah il diritto di valutare: sarebbe come chiedere ad una banca come consentirle di gestire i soldi.....
questo ",Covid,0
216,"Sassoli: affetto da... **polmo-mite** estiva (essendo da post vaccino non dovrebbe poter avere gravi conseguenze, dicono).
Dicono anche negativo al test, ma alla presenza della proteina spyke?
Come dice il titolo, ora c'è l'incubo della immunopatologia.

🇮🇹 ",Covid,0
217,"INCREDIBILE!!! Prof. Norman Fenton dimostra: ""Il governo falsifica i dati covid-19 per far credere che il vaccino sia sicuro ed efficace"". Non possiamo fidarci di nessuno di loro! È tutto falso, siamo in un Truman Show! Usciamo dalla MATRIX così...


PER CONTINUARE ",Covid,0
218,"Bill Gates e Chaotic Moon lavorano ad un tatuaggio-smarthphone: è il marchio 666 dell'Apocalisse? Sarà sempre con te e oltre a telefonare  conterrà i tuoi dati sanitari, permetterà i pagamenti e di usare il c/c con il prossimo denaro digitale!!! Diciamo NO a tutto ciò che ci propongono le élite del WEF, rimaniamo umani e grati del libero arbitrio!!!",Qanon,1
219,"Pian pianino la gente apre gli occhi. Il proprio orticello è in pericolo e forse la grande flotta di novax no GP che protestavano nelle grandi piazze non avevano tutti questi torti

Il buffo è che il vax non serve a un emerito ceppo, anzi... Sembra che possa essere più pericoloso rispetto all'immunità naturale


Commercianti tocca a voi soffrire, la ristorazione piange, gli albergatori non ne parliamo , tabacchini in sciopero e piccole attività commerciali non vedono la luce promessa del tunnel


Attendiamo la crisi di governo",Covid,0
220,Hanno ritagliato il cartone per creare l ombra alla terra.. ln gergo  effetto terminator,Terra Piatta,3
221,Qualcuno che ci ha messo in testa il globo sferico e tiene sotto controllo i nostri cuori.,Terra Piatta,3
222,ecco il filmato documento che affonda l'allunaggio,Terra Piatta,3
223,"Non è questo esat ciò che Q ha detto che doveva accadere e sta accadendo?
Una volta compreso questo, vedrete che siamo sulla buona strada. 
Il risveglio mondiale era l'obiettivo e quell'obiettivo è sulla buona strada per essere raggiunto. Se volete veramente salvaguardare il futuro... questo era l'unico modo. 
Il risveglio e poi la giustizia.... fase della giustizia amplificherà ulteriormente e farà crescere ciò che è già stato piantato in questi anni. Questi anni dolorosi per gli Anon sono stati una base per ciò che verrà. 
Nel mondo sta accadendo qualcosa di straordinario. 
La cabala pensa di ottenere il suo reset, ma non si rende conto che Dio ama fare marcia indietro proprio quando il nemico meno se lo aspetta. Dio non ha finito. Continuate a credere. 

""Solo quando il male sarà costretto alla luce potremo sconfiggerlo. 
Solo quando non potranno più operare nell'ombra, la gente potrà vedere la verità.
Solo quando la gente vedrà la verità [per se stessa] capirà la vera natura del loro inganno. 
Vedere per credere. 
A volte non si può dire al pubblico la verità.
BISOGNA MOSTRARLA.
SOLO ALLORA LE PERSONE TROVERANNO LA VOLONTÀ DI CAMBIARE.
Doveva andare così.
Non si tratta di un'altra elezione di 4 anni.
DIO VINCE"".
Q



",Qanon,1
224,Questa e' un'immagine.. NASA..  che ci mostra la terra dalla luna..,Terra Piatta,3
225,Ecco come mettono in orbita i satellitti.  (orbita per modo di dire),Terra Piatta,3
226,"Ma andiamo a prendere chi??? Come??? Quando????Dove?????
Questi vanno avanti spediti senza farsi problemi di sorta.......il bello deve ancora venire, con amato presidente della corte costituzionale, il draghetto ha la strada ancora più spianata. Siamo molto più vicini noibad ""Auschwitz"" che loro a ""piazzale loreto"".........e questo  mi sembra innegabile. L Italia è spaccata in due oramai, e rimetterla assieme è una missione impossibile😢😢😢
Ma tutto ciò non significa che mollo di un millimetro......schiena dritta e sempre avanti, e se mai.mi dovessero abbattere, dovranno fare molta fatica!!!💪💪💪",Qanon,1
227,"Oltre i prezzi destinati a salire causa la guerra Russia e Ucrania, ora c'è l'allarme siccità... Molto strano... Se consideriamo i 2 anni di covid.. Che già hanno fatto piegare il paese..",Covid,0
228,"Si pronuncia la Polizia e studio legale: dal 31.01.2022 vengono annullati tutti i DL e le leggi su green pass e obblighi vaccinali!!!! Lo dice l'UE e lo conferma l'AIFA!!! La farsa psicopandemica è finita!!! TUTTI, giudici compresi, sono OBBLIGATI ad attenersi ai regolamenti UE, fonti di grado superiore rispetto alle leggi italiane!!!",Covid,0
229,Anche con il vaccino muore lo stesso la gente....ma xké nn si sveglianoooo???,Covid,0
230,"Il vertice del G7 si e' svolto nell'ideale e consona cornice bavarese di Elmau. Lo Schloss Elmau, la struttura ricettiva che ha ospitato i leader dei 7 paesi e il loro entourage, venne costruito da un tale Johannes Müller, autodefinitosi teologo, che saluto' l'ascesa di Hitler come ""strumento nelle mani di Dio"". Tale era il suo supporto per il regime del Terzo Reich che mise a disposizione Schloss Elmau come sanatorio per ""rigenerare il fisico e la salute"" dei soldati nazisti.  Dopo la guerra venne processato e condannato per il suo sostegno al nazismo.",Qanon,1
231,La Russia si difende attaccando l'Ucraina come gli SUA si sono difesi attaccando un paese a 12mila chilometri di distanza dalle sue frontiere (iraq),Russia,2
232,"Il rublo raggiunge il massimo storico nei confronti del dollaro degli ultimi quattro anni. Adesso la valuta russa viene scambiata a 1 dollaro contro 57 rubli. La finanza anglosionista era convinta veramente di poter piegare la Russia. Erano convinti di poter piegare un Paese che è già autonomo dai mercati esteri da lungo tempo e che è, al tempo stesso, uno dei Paesi leader al mondo nella produzione di minerali e materie prime energetiche. Il loro piano è fallito miseramente. Si sono risvegliati dal loro delirio di onnipotenza e hanno appreso amaramente che il loro dominio è giunto al termine. Il dollaro è stato per decenni l'arma utilizzata dalla finanza anglosionista per punire i Paesi non allineati. Quell'arma sta perdendo la sua forza. La Russia ci ha portato nell'era del multipolarismo economico e finanziario.
",Qanon,1
233,"**Il 30 e il 31 ottobre a Roma si terrà il G20. 
**I capi di stato dei più importanti paesi del mondo saranno nella capitale ospiti di Mario Draghi, il grande e acclamato demiurgo della politica economica europea. Lui vuole arrivare a questo appun da “eroe”. Per questo ha bisogno di arrivarci con un paese inerme, domato e addomesticato, che dimostri la sua risolutezza di leader forte. 
“Whatever it takes”, è il motto che lo ha reso celebre. “A qualsiasi costo”.
Immaginate cosa accadrebbe se i big della terra trovassero un paese in rivolta e un Governo messo sotto scacco. Qualcuno potrebbe anche avere dei dubbi sul fatto che l’Italia possa garantire la giusta sicurezza ai delegati.
**La protesta dopo gli orribili fatti di stamattina sta montando di ora in ora e Draghi ha bisogno di chiudere la partita entro la settimana prossima.
**A questo punto ha due possibilità. Aumentare la repressione tramite la forza (con il rischio di superare dei pericolosi limiti), oppure tentare un’ultima mediazione. Ma quale? E con chi? Il tema ormai non è più il vaccino, non sono più i tamponi. La gente sta capendo che non si tratta più neanche di green pass. Mattarella c’ha provato stamattina a ributtare tutto sul discorso della pandemia ma non è servito. Sempre più persone stanno capendo che qui in pericolo c’è la libertà di tutti, non solo dei non vaccinati. Prima era una questione no vax, poi no pass, ora è no dittatura. Il fronte in questo modo si allarga paurosamente e più la questione diventa ideologica, più diminuiscono i margini per una trattativa commerciale sottobanco. Un assedio, lo insegna la storia militare, funziona quando è breve. Sul lungo termine rischia di indebolire gli assedianti più che gli assediati. **La migliore strategia in questo momento è dunque mantenere le posizioni. Protestare pacificamente. Costringere il governo a fare la prossima mossa, sperando sia quella sbagliata. 
E, soprattutto, resistere fino al G20. 
Per Draghi questo sarebbe, senza alcun dubbio, il peggiore degli scenari.

**Fonte: Francesca Bortolin

🇮🇹 ",Qanon,1
234,Ecco un video..  che attesta quello che ho detto... Un UFO che entra nel vulcano...,Terra Piatta,3
235,"Joe Biden. 1999 fa confessione piena di crimini di guerra.
“Sono stato io a suggerire di bombardare Belgrado. Sono stato io a suggerire di mandare piloti americani e di far saltare in aria tutti i ponti sul Danubio""
[🇮🇹 ",Qanon,1
236,"Il 31.1 p.v stop.acsiero.mascherato da vaccino.per Legge Europea
Avanti con.le denunce


Xk.non viionk.mollRd k'osso",Covid,0
237,"Biden ha venduto altri 27 milioni di barili di petrolio il mese scorso.

Compreso 1 milione di barili a una società statale cinese di cui Hunter Biden è un investitore.

Di questo passo, le riserve petrolifere strategiche statunitensi saranno esaurite in 18 mesi.

Perché Biden sta prosciugando il petrolio messo da parte per le emergenze nazionali❓",Qanon,1
238,"Analisi non completa ma abbastanza esaustiva del film che cambierà la percezione del voto in America E NON SOLO

Traduzione automatica 

[  Ora che abbiamo visto tutti 2000 muli dal livello del suolo, diamo un'occhiata da 40.000 piedi.  Discutiamo di come questo pezzo si inserisca nel puzzle generale e di come sia diret associato a C19 e Putin che attaccano gli oltre 30 biolab statunitensi in Ucraina.

 Cosa ha reso possibile questo metodo di frode elettorale?  VOTO PER POSTA.  Come risultato della paura generata dai media per C19.  Ricordiamo tutti i Democratici con la schiuma in bocca per il respingimento di Trump sul voto per corrispondenza.  L'unico modo in cui il loro piano funziona è se i democratici sono stati in grado di abusare dei poteri di emergenza per installare il voto per corrispondenza, in caso di emergenza.  Quindi cosa hanno fatto per assicurarsi di vincere le elezioni?  Hanno creato un'emergenza.

 Come abbiamo visto tutti nel mio thread sulle e-mail FOIA, i migliori virologi, biologi e immunologi del mondo hanno concluso che il C19 è stato creato in laboratorio.  Un laboratorio gestito dal NIH statunitense.  E tutto questo è stato insabbiato dai burocrati politici di sinistra Fauci e Collins.

 Quindi un'agenzia gestita da sinistra nel governo degli Stati Uniti stava aggirando la supervisione del Congresso per modificare i patogeni nei paesi stranieri.  Uno di questi agenti patogeni ""è uscito"", che ha consentito ai democratici di abusare dei poteri di emergenza per attuare il voto per corrispondenza di massa, che ha consentito loro di sovvertire le elezioni con i metodi delineati in 2000 Mules.

 Ora ha senso il motivo per cui Biden/Obama/DNC, utilizzando Hunter Biden come procuratore, tramite Rosemont Seneca, ha incanalato denaro del Dipar della Difesa degli Stati Uniti alla società bio di Hunter Biden Metabiota e altri Biolabs in Ucraina?  Il DNC e i globalisti sono tutti diret coinvolti nella ricerca sul guadagno biologico della funzione sui patogeni.  E il risultato di uno che se ne è andato proprio così è successo a beneficio del DNC e dei globalisti su tutti i fronti.  E per caso hanno una rete nazionale di raccolta di schede elettorali e traffico di muli pronta, nelle città liberali, negli stati chiave in movimento.  E il piano si basa esclusivamente sul voto per corrispondenza di massa per essere portato a termine.

 Ora ha senso il motivo per cui Putin sta attaccando le strutture biologiche statunitensi vicino al suo confine?  E perché Cina, Russia, India, Brasile, Messico e Gabon hanno votato tutti al Consiglio di sicurezza delle Nazioni Unite, che la rete biologica statunitense deve essere indagata...

 Questo è il motivo per cui i media ei democratici sono così preoccupati per l'Ucraina.  Questo è il motivo per cui i fact-checker e la macchina dei media di sinistra stanno ancora negando affatto l'esistenza di laboratori statunitensi in Ucraina.  Questo è il motivo per cui i Democratici volevano inviare truppe statunitensi in Ucraina per difendere questi laboratori.  Perché le loro capacità biologiche sono ciò che consente loro di mantenere il potere sul Popolo.  Rubare elezioni, attuare uno stato di polizia, vaccinare forza censurare il dissenso politico con il pretesto della salute pubblica.  C19 ha dato loro il potere di fare quello che volevano.

 Il DNC aveva in programma un'altra ""variante"" per il rilascio prima del midterm in modo da poterlo rifare?  Putin lo sapeva?  È questo uno dei motivi per cui la Russia ha preso di mira e attaccato i nostri Biolab?  È per questo che Victoria Nuland e il resto del DNC sono terrorizzati dal fatto che la loro ""ricerca"" cada nelle mani della Russia?

 Presto inizieranno a spingere per la posta di massa per votare di nuovo per i midterm.  Orologio.  È il loro unico modo.

1/2",Qanon,1
239,6.000.000  (6milioni)  di morti causa la vigili attesa.... NON DIMENTICHIAMO... questo e' stato un OLOCAUSTO!!  Inoltre le morti   che arrivano ogni giorno dal siero.. o meglio il farmaco sperimentale che  hanno iniettato..,Covid,0
240,"Siamo davanti ad uno dei momenti più storici, più biblici che ci siano mai stati:                 -il sistema finanziario è al collasso(vedi post precedenti)                                                                                                                                                             - il sistema politico (occidentale) sta crollando ed è nel caos                                          - il sistema religioso sta perdendo i pezzi                - il sistema geopolitico vede i BRICS trovare nuovi alleati (Iran, Arabia Saudita, Turchia, Egitto, Argentina) mentre i paesi NATO sono sempre più in difficoltà;                                                                - il sistema sociale sempre più diviso tra chi ""vede"" e chi no. La manipolazione delle menti è sempre più forte.                             Si sta raggiungendo il momento X, il punto di rottura, il climax.(ABBIATE FIDUCIA IN VOI, SIETE QUI ORA PER UNA RAGIONE BEN PRECISA, SOLO VOI LA CONOSCETE, SENTITEVI FORTUNATI)",Qanon,1
241,Chissà come mai sua figlia non la vaccina.. e come tutti i politici si saranno fatti tutti una dose di acqua distillata,Covid,0
242,"☝️☝️☝️☝️

Trump ha sempre ribadito che NON TORNERÀ MAI PIÙ SU TWITTER

Ora però TWITTER stesso mi propone un profilo dove vengono pubblicati TUTTI I POST di Trump su TRUTH, questa cosa mi fa pensare parecchio a 360 gradi

Considerando il fatto che su Twitter ci vado raramente trovo il tutto ancora più strano e la prima cosa che mi viene in mente è un gigantesco CAVALLO DI TROIA che dice a tutti gli americani che ancora ipoteticamente non lo sanno O non l'hanno ancora fatto per pigrizia di andare ad ISCRIVERSI SU TRUTH

IN PIÙ dà ai non americani che ancora non possono iscriversi sulla piattaforma la possibilità di ricominciare a seguite TRUMP in modo indiretto ma UGUALMENTE EFFICACE

In attesa che finalmente TRUTH sia disponibile anche per NOI mi accontento e lo seguo da QUA",Qanon,1
243,Suor Maria: dittatura spietata in Argentina per la falsa pandemia. Bergoglio è membro della cupola satanica che domina il mondo!!,Qanon,1
